Rk,Date,Tm,Opp,Result,Player,Dist,Good.,Blk.
8,2019-09-29,BAL,CLE,L 25-40,Justin Tucker,41,Y,N
9,2019-10-06,OAK,CHI,W 24-21,Daniel Carlson,41,Y,N
10,2019-10-06,PIT,BAL,L 23-26,Chris Boswell,41,Y,N
11,2019-10-13,CAR,TAM,W 37-26,Joey Slye,41,N,N
12,2019-10-13,KAN,HOU,L 24-31,Harrison Butker,41,Y,N
13,2019-10-14,DET,GNB,L 22-23,Matt Prater,41,Y,N
14,2019-10-27,CHI,LAC,L 16-17,Eddy Pineiro,41,N,N
15,2019-10-27,CAR,SFO,L 13-51,Joey Slye,41,Y,N
1,2019-09-08,LAC,IND,W 30-24,Ty Long,40,Y,N
2,2019-09-12,TAM,CAR,W 20-14,Matt Gay,40,Y,N
3,2019-09-15,CHI,DEN,W 16-14,Eddy Pineiro,40,Y,N
4,2019-09-15,JAX,HOU,L 12-13,Josh Lambo,40,Y,N
5,2019-09-15,DET,LAC,W 13-10,Matt Prater,40,N,N
6,2019-09-19,JAX,TEN,W 20-7,Josh Lambo,40,Y,N
7,2019-09-29,JAX,DEN,W 26-24,Josh Lambo,40,Y,N
8,2019-09-29,NOR,DAL,W 12-10,Wil Lutz,40,Y,N
9,2019-10-06,DEN,LAC,W 20-13,Brandon McManus,40,Y,N
10,2019-10-10,NWE,NYG,W 35-14,Mike Nugent,40,N,N
11,2019-10-13,BAL,CIN,W 23-17,Justin Tucker,40,Y,N
12,2019-10-13,DAL,NYJ,L 22-24,Brett Maher,40,N,N
13,2019-10-13,PHI,MIN,L 20-38,Jake Elliott,40,Y,N
14,2019-10-20,LAR,ATL,W 37-10,Greg Zuerlein,40,N,N
15,2019-10-24,MIN,WAS,W 19-9,Dan Bailey,40,Y,N
16,2019-10-27,HOU,OAK,W 27-24,Ka'imi Fairbairn,40,Y,N
1,2019-09-05,GNB,CHI,W 10-3,Mason Crosby,39,Y,N
2,2019-09-08,NWE,PIT,W 33-3,Stephen Gostkowski,39,Y,N
3,2019-09-08,CIN,SEA,L 20-21,Randy Bullock,39,Y,N
4,2019-09-09,DEN,OAK,L 16-24,Brandon McManus,39,Y,N
5,2019-09-15,HOU,JAX,W 13-12,Ka'imi Fairbairn,39,Y,N
6,2019-09-15,LAC,DET,L 10-13,Ty Long,39,N,N
7,2019-09-15,LAC,DET,L 10-13,Ty Long,39,Y,N
8,2019-09-15,SFO,CIN,W 41-17,Robbie Gould,39,N,N
9,2019-09-22,BAL,KAN,L 28-33,Justin Tucker,39,Y,N
10,2019-10-13,MIN,PHI,W 38-20,Dan Bailey,39,Y,N
11,2019-10-13,ARI,ATL,W 34-33,Zane Gonzalez,39,Y,N
12,2019-10-13,MIA,WAS,L 16-17,Jason Sanders,39,Y,N
13,2019-10-17,KAN,DEN,W 30-6,Harrison Butker,39,Y,N
14,2019-10-20,BUF,MIA,W 31-21,Stephen Hauschka,39,Y,N
15,2019-10-20,WAS,SFO,L 0-9,Dustin Hopkins,39,N,N
16,2019-10-20,NOR,CHI,W 36-25,Wil Lutz,39,Y,N
1,2019-09-05,CHI,GNB,L 3-10,Eddy Pineiro,38,Y,N
2,2019-09-15,SFO,CIN,W 41-17,Robbie Gould,38,Y,N
